CNN_ID,attack_type,acc,precision,f1,auc-roc,pert_type,pert_size
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,clean,0.989,0.9891019750509901,0.988975695811842,0.9999765867371117,none,0.0
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,fgsm,0.986,0.9862163888151492,0.9860113521598948,0.9999500393081386,min,0.10004322975873947
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,pgd,0.987,0.9871067504067824,0.9870002692072158,0.9999201713671871,mean,0.1987541913986206
63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,clean,0.988,0.9880982720517635,0.9880079170062945,0.9998094374130824,none,0.0
63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,fgsm,0.979,0.9791795122433983,0.9790035399111452,0.9997903737237961,min,0.10004272311925888
63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,pgd,0.979,0.9792453709696676,0.9790223527690162,0.9997368674546446,mean,0.2107124775648117
843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,clean,0.983,0.9832830871181196,0.9829973549802058,0.9999286049130803,none,0.0
843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,fgsm,0.982,0.9820923263314656,0.981974830281558,0.999880645977065,min,0.10004197806119919
843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,pgd,0.977,0.9771235862988141,0.9769724295111353,0.9997914512949297,mean,0.2031693458557129
a65a7bd6997619e922f8b7b612577c7aa7e96d6536d5de84d80c6969c177a23e,clean,0.987,0.9870853062992636,0.9869926046044271,0.9999197161758369,none,0.0
a65a7bd6997619e922f8b7b612577c7aa7e96d6536d5de84d80c6969c177a23e,fgsm,0.986,0.9861269540907137,0.9860162204182534,0.9998950779577266,min,0.10004346817731857
a65a7bd6997619e922f8b7b612577c7aa7e96d6536d5de84d80c6969c177a23e,pgd,0.981,0.9811958698831565,0.9810079774926985,0.9998538062137572,mean,0.2039313018321991
bc5609f67403dbc9c2163e12827bc2a15c211ba549584dc51003df1ff7cbaedc,clean,0.992,0.9920464214961794,0.9920000702616563,0.999809723935214,none,0.0
bc5609f67403dbc9c2163e12827bc2a15c211ba549584dc51003df1ff7cbaedc,fgsm,0.977,0.977300941514198,0.9770513282720205,0.9996841911207761,min,0.10004237294197083
bc5609f67403dbc9c2163e12827bc2a15c211ba549584dc51003df1ff7cbaedc,pgd,0.974,0.9744399241405057,0.9740745082456225,0.9995223593248401,mean,0.19921013712882996
749e22cec635e58afb0dc24b82df2a44717397bbdd971fa73602a6e811634826,clean,0.988,0.9881205337590475,0.9879882931825615,0.9999478034874402,none,0.0
749e22cec635e58afb0dc24b82df2a44717397bbdd971fa73602a6e811634826,fgsm,0.982,0.9821919802488899,0.9819896319946233,0.9998967118375197,min,0.10004441440105438
749e22cec635e58afb0dc24b82df2a44717397bbdd971fa73602a6e811634826,pgd,0.976,0.9762367748685075,0.9759896875325376,0.9998054781458914,mean,0.20017367601394653
8ece6a7a7522aa09ffb786b67d2ac107000d192b4cf74ea29a9402ec888eb004,clean,0.987,0.9870539455134801,0.986958754952189,0.9999302246874708,none,0.0
8ece6a7a7522aa09ffb786b67d2ac107000d192b4cf74ea29a9402ec888eb004,fgsm,0.976,0.9763379428784211,0.9760354976785017,0.999847952950422,min,0.1000412255525589
8ece6a7a7522aa09ffb786b67d2ac107000d192b4cf74ea29a9402ec888eb004,pgd,0.975,0.9752801300780147,0.9750034132826626,0.9997480149254826,mean,0.19591675698757172
17214d6e118bf74c852a1c68004209041e07f50b1cb197b4ba918c9b2db6dc38,clean,0.991,0.9910555040454594,0.9909908004642854,0.9999708041052151,none,0.0
